trend,seasonal,damped,MAE,RMSE,R2
add,add,True,2670.5282922604265,3149.4475714068217,-4.5416048444644845
add,add,False,2756.2354545571097,3237.9606383521195,-5.406016213583634
add,mul,True,2668.5137455450927,3250.993716638686,-5.661866045833575
add,mul,False,3113.772536774375,3754.993196603852,-34.01688026629039
mul,mul,True,810581.2034141341,1459741.89602275,-300373359.1765015
mul,mul,False,1179000.148351442,2153611.0754428264,-793689924.0700946
mul,add,True,19050076.800790366,27554117.910800084,-62379488534.93922
mul,add,False,366567647.16046464,1015872871.4233685,-22122529822944.125
